participant,topic,system,normalized_gain,kgain,pre_acc,post_acc,article_id,article_key,article_version_label,group,student_id,order,category,n_questions
G3a_7,30086,Ours,1.0,0.6666666666666666,0.3333333333333333,1.0,30086,news_0,news_0a,G3a,7,17,Space,6
G3a_7,30184,Ours,1.0,0.6666666666666666,0.3333333333333333,1.0,30184,news_0,news_0a,G3a,7,18,Tech,6
G3a_7,30214,Baseline,0.33333333333333326,0.16666666666666666,0.5,0.6666666666666666,30214,news_2,news_2b,G3a,7,19,Space,6
G3a_7,30708,Baseline,0.6666666666666667,0.3333333333333333,0.5,0.8333333333333334,30708,news_2,news_2b,G3a,7,20,Tech,6
G3a_8,29734,Baseline,0.5000000000000001,0.16666666666666666,0.6666666666666666,0.8333333333333334,29734,news_2,news_2b,G3a,8,2,Space,6
G3a_8,29739,Ours,1.0,0.16666666666666666,0.8333333333333334,1.0,29739,news_0,news_0a,G3a,8,3,Health,6
G3a_8,29753,Baseline,0.0,0.0,0.8333333333333334,0.8333333333333334,29753,news_2,news_2b,G3a,8,4,Health,6
G3a_8,29775,Ours,1.0,0.16666666666666666,0.8333333333333334,1.0,29775,news_0,news_0a,G3a,8,5,Tech,6
G3a_8,29802,Ours,1.0,0.3333333333333333,0.6666666666666666,1.0,29802,news_0,news_0a,G3a,8,6,Humans,6
G3a_8,29846,Baseline,0.6666666666666667,0.3333333333333333,0.5,0.8333333333333334,29846,news_2,news_2b,G3a,8,7,Nature,6
G3a_8,29866,Ours,1.0,0.5,0.5,1.0,29866,news_0,news_0a,G3a,8,8,Nature,6
G3a_8,29873,Ours,1.0,0.3333333333333333,0.6666666666666666,1.0,29873,news_0,news_0a,G3a,8,9,Humans,6
G3a_8,29902,Ours,1.0,0.5,0.5,1.0,29902,news_0,news_0a,G3a,8,10,Nature,6
G3a_8,29929,Ours,0.8,0.6666666666666666,0.16666666666666666,0.8333333333333334,29929,news_0,news_0a,G3a,8,11,Physics,6
G3a_8,29943,Baseline,0.5000000000000001,0.16666666666666666,0.6666666666666666,0.8333333333333334,29943,news_2,news_2b,G3a,8,12,Tech,6
G3a_8,29958,Baseline,1.0,0.8333333333333334,0.16666666666666666,1.0,29958,news_2,news_2b,G3a,8,13,Physics,6
G3a_8,29988,Baseline,1.0,0.3333333333333333,0.6666666666666666,1.0,29988,news_2,news_2b,G3a,8,14,Humans,6
G3a_8,30052,Ours,1.0,0.3333333333333333,0.6666666666666666,1.0,30052,news_0,news_0a,G3a,8,15,Physics,6
G3a_8,30061,Baseline,1.0,0.6666666666666666,0.3333333333333333,1.0,30061,news_2,news_2b,G3a,8,16,Physics,6
G3a_8,30086,Ours,1.0,0.16666666666666666,0.8333333333333334,1.0,30086,news_0,news_0a,G3a,8,17,Space,6
G3a_8,30184,Ours,1.0,1.0,0.0,1.0,30184,news_0,news_0a,G3a,8,18,Tech,6
G3a_8,30214,Baseline,1.0,0.6666666666666666,0.3333333333333333,1.0,30214,news_2,news_2b,G3a,8,19,Space,6
G3a_8,30708,Baseline,0.0,0.0,0.8333333333333334,0.8333333333333334,30708,news_2,news_2b,G3a,8,20,Tech,6
G3a_9,29733,Baseline,1.0,1.0,0.0,1.0,29733,news_2,news_2b,G3a,9,1,Health,6
G3a_9,29734,Baseline,0.7499999999999999,0.5,0.3333333333333333,0.8333333333333334,29734,news_2,news_2b,G3a,9,2,Space,6
G3a_9,29739,Ours,0.6,0.5,0.16666666666666666,0.6666666666666666,29739,news_0,news_0a,G3a,9,3,Health,6
G3a_9,29753,Baseline,0.6,0.5,0.16666666666666666,0.6666666666666666,29753,news_2,news_2b,G3a,9,4,Health,6
G3a_9,29775,Ours,0.49999999999999994,0.3333333333333333,0.3333333333333333,0.6666666666666666,29775,news_0,news_0a,G3a,9,5,Tech,6
G3a_9,29802,Ours,1.0,0.3333333333333333,0.6666666666666666,1.0,29802,news_0,news_0a,G3a,9,6,Humans,6
G3a_9,29846,Baseline,0.7499999999999999,0.5,0.3333333333333333,0.8333333333333334,29846,news_2,news_2b,G3a,9,7,Nature,6
